query;clicks;conv_rate_fci;fci_conv;fci_ogp;gp_user_fci;gppi_fci;impressions;lci_conv;lci_ogp;search_ctr;search_counts;unique_users
massa;1408;0.006;62;1379.63989687;0.16089095;0.049348639;27957;59;1301.149699211;0.1406;10012;8575
mass;1629;0.006;62;1659.059099674;0.176476875;0.046970898;35321;63;1749.23810339;0.1452;11220;9401
masonite rings;7;0.0;0;0.0;0.0;0.0;443;0;0.0;0.2917;24;1
masonic ring;1;0.0;0;0.0;0.0;0.0;684;0;0.0;0.0169;59;1
mask;21;0.031;3;5.980100155;0.192906457;0.007786589;768;2;4.679700136;0.2188;96;31
masdage;26;0.014;1;29.117500305;0.5942347;0.079556012;366;2;85.200000763;0.3562;73;49
mascara;31;0.044;4;10.710999966;0.396703702;0.019653211;545;4;10.710999966;0.337;92;27
masajes;38;0.007;1;55.808498383;1.014699971;0.088304586;632;1;55.808498383;0.255;149;55
masaje;80;0.0;0;0.0;0.0;0.0;1188;0;0.0;0.4;200;75
masages;48;0.01;1;17.183300018;0.440597436;0.020431986;841;1;17.183300018;0.4571;105;39
masage;455;0.011;10;226.494699478;0.539273094;0.035115457;6450;9;210.182199478;0.5028;905;420
masaage;159;0.022;11;331.590498924;1.894802851;0.121729258;2724;11;331.701899529;0.3124;509;175
masa;136;0.008;5;169.295001507;0.335237627;0.082947086;2041;2;79.624103069;0.229;594;505
mas;306;0.004;15;366.394200325;0.111603473;0.032825139;11162;13;319.020800591;0.0833;3675;3283
maryland science center;8;0.0;0;0.0;0.0;0.0;916;0;0.0;0.0421;190;44
maryland;24;0.0;0;0.0;0.0;0.0;850;0;0.0;0.1611;149;72
mary j blige concert;9;0.0;0;0.0;0.0;0.0;594;0;0.0;0.0882;102;38
mary j blige;22;0.0;0;0.0;0.0;0.0;3032;0;0.0;0.0312;706;319
mary j blidge;13;0.0;0;0.0;0.0;0.0;1075;0;0.0;0.0546;238;105
mary j bli;0;0.0;0;0.0;0.0;0.0;463;0;0.0;0.0;160;149
mary j b;1;0.0;0;0.0;0.0;0.0;384;0;0.0;0.0084;119;105
mary j;8;0.0;0;0.0;0.0;0.0;2012;0;0.0;0.0134;596;415
mary;16;0.002;1;36.290401459;0.101369836;0.034463819;1053;1;36.290401459;0.0389;411;358
martin lawrence;1;0.0;0;0.0;0.0;0.0;700;0;0.0;0.0079;127;58
martial arts;211;0.005;4;33.288600683;0.147949336;0.007621017;4368;4;33.288600683;0.2453;860;225
martial art;26;0.023;2;34.345500946;0.954041693;0.048442173;709;1;19.971000671;0.2955;88;36
martial;33;0.0;0;0.0;0.0;0.0;471;0;0.0;0.3028;109;64
marriott;35;0.0;0;0.0;0.0;0.0;1648;0;0.0;0.108;324;144
marriot;48;0.004;1;33.377498627;0.260761708;0.023943686;1394;1;33.377498627;0.1672;287;128
mario;46;0.025;4;11.275200129;0.111635645;0.016293642;692;2;5.877600193;0.2893;159;101
marika;2;0.0;0;0.0;0.0;0.0;423;0;0.0;0.0465;43;9
marijuana doctor;48;0.043;4;57.233299255;1.168026515;0.129194806;443;4;57.233299255;0.5106;94;49
marijuana card;44;0.029;3;75.604299545;1.938571783;0.150606174;502;3;75.604299545;0.419;105;39
marijuana;294;0.024;18;351.687405109;1.168396695;0.09834659;3576;13;247.8525033;0.3915;751;301
marij;31;0.01;1;21.983200073;0.305322223;0.059575068;369;1;21.983200073;0.3229;96;72
mari;72;0.039;10;274.27409935;1.28165467;0.330450722;830;7;200.652097702;0.2791;258;214
margaritaville;129;0.006;3;191.172904968;0.861139212;0.077586406;2464;4;254.296504974;0.2476;521;222
margarita;37;0.01;2;32.415100098;0.203868554;0.043047942;753;2;32.415100098;0.185;200;159
margar;43;0.0;0;0.0;0.0;0.0;403;0;0.0;0.3739;115;94
marga;59;0.0;0;0.0;0.0;0.0;536;0;0.0;0.3711;159;130
marg;65;0.006;1;32.964599609;0.263716797;0.051507187;640;1;32.964599609;0.3714;175;125
mardi gras;20;0.008;1;12.312000275;0.195428576;0.026882097;458;2;21.54750061;0.1667;120;63
marco island;28;0.0;0;0.0;0.0;0.0;654;0;0.0;0.2373;118;29
march;25;0.025;4;39.552598715;0.557078855;0.061897651;639;5;44.695098639;0.1534;163;71
marc jacobs;35;0.006;1;4.028399944;0.066039343;0.003629189;1110;1;4.028399944;0.2229;157;61
marc;21;0.017;2;20.796800613;0.22124256;0.051223647;406;2;20.796800613;0.1795;117;94
marathon;3;0.0;0;0.0;0.0;0.0;394;0;0.0;0.0333;90;41
mar;51;0.002;2;59.604501724;0.056230662;0.017530736;3400;1;9.34679985;0.0422;1208;1060
manta ray;185;0.016;7;489.154191971;3.851607811;0.21066072;2322;7;481.529693604;0.4129;448;127
manta;177;0.019;6;432.670783997;3.158180905;0.336971016;1284;7;514.434280396;0.5601;316;137
manipedi;58;0.017;2;47.915399551;1.088986353;0.097389023;492;1;28.24189949;0.4833;120;44
manicures;70;0.004;1;7.516900063;0.107384287;0.006508139;1155;1;7.516900063;0.2979;235;70
manicure pedicure;359;0.011;10;134.877500057;0.526865235;0.027171132;4964;9;123.849099636;0.3864;929;256
manicure and pedicure;733;0.019;30;450.929500103;1.048673256;0.043783814;10299;29;435.887500286;0.4561;1607;430
manicure;3321;0.01;96;1176.711494088;0.377756499;0.022704166;51828;91;1147.215994;0.345;9626;3115
manicur;28;0.007;1;5.862999916;0.050982608;0.010322183;568;1;5.862999916;0.183;153;115
manicu;28;0.006;1;5.823500156;0.036170808;0.01373467;424;1;5.823500156;0.1591;176;161
manic;73;0.0;0;0.0;0.0;0.0;851;0;0.0;0.2655;275;239
mani/pedi;37;0.022;3;60.868000984;1.963483903;0.113985021;534;1;35.518001556;0.2741;135;31
mani-pedi;47;0.005;1;19.9083004;0.361969098;0.023095476;862;1;19.9083004;0.2156;218;55
mani pedi;1687;0.01;41;664.602304876;0.552913731;0.030162581;22034;38;615.971602857;0.4221;3997;1202
mani and pedi;274;0.011;7;101.01760149;0.668990738;0.029255025;3453;5;92.719001293;0.4228;648;151
mani;838;0.008;22;329.899200916;0.192810754;0.031502979;10472;19;306.249501228;0.2892;2898;1711
manhattan;95;0.002;1;40.305801392;0.270508734;0.014058529;2867;1;40.305801392;0.1919;495;149
mandalay bay;21;0.0;0;0.0;0.0;0.0;530;0;0.0;0.2;105;55
manatees;66;0.014;3;77.652099609;1.109315709;0.069208645;1122;4;106.503900528;0.3028;218;70
manatee;326;0.011;8;217.434396744;0.866272497;0.056025353;3881;11;272.111997604;0.4278;762;251
man;53;0.0;0;0.0;0.0;0.0;3548;0;0.0;0.0348;1522;1307
mammoth;47;0.0;0;0.0;0.0;0.0;701;0;0.0;0.331;142;63
mall of america;371;0.001;1;34.227901459;0.078504361;0.003392596;10089;1;34.227901459;0.2329;1593;436
mall of;31;0.009;1;4.308300018;0.057444;0.008464244;509;1;4.308300018;0.2925;106;75
mall;41;0.0;0;0.0;0.0;0.0;932;0;0.0;0.1602;256;181
malibu jacks;2;0.0;0;0.0;0.0;0.0;1120;0;0.0;0.0096;209;94
malibu;9;0.008;1;32.127601624;0.396637057;0.062262794;516;1;32.127601624;0.075;120;81
male sex toys;23;0.0;0;0.0;0.0;0.0;880;0;0.0;0.2527;91;18
male sex toy;3;0.0;0;0.0;0.0;0.0;434;0;0.0;0.0667;45;10
male massage;18;0.0;0;0.0;0.0;0.0;691;0;0.0;0.1593;113;32
male intimate wax;23;0.0;0;0.0;0.0;0.0;1039;0;0.0;0.0906;254;62
male enhancement;17;0.0;0;0.0;0.0;0.0;829;0;0.0;0.1518;112;16
male brazilian;42;0.0;0;0.0;0.0;0.0;550;0;0.0;0.5833;72;15
mal;1;0.0;0;0.0;0.0;0.0;394;0;0.0;0.0057;174;153
making;23;0.0;0;0.0;0.0;0.0;466;0;0.0;0.2805;82;39
makeup services;9;0.0;0;0.0;0.0;0.0;512;0;0.0;0.0833;108;29
makeup class;35;0.007;1;2.849999905;0.059374998;0.00323496;881;1;2.849999905;0.25;140;48
makeup brushes;17;0.091;6;15.382799804;0.854599989;0.022101724;696;6;15.382799804;0.2576;66;18
makeup brush;33;0.047;5;11.018900216;0.734593348;0.010183826;1082;5;11.018900216;0.3084;107;15
makeup artist;30;0.0;0;0.0;0.0;0.0;793;0;0.0;0.25;120;39
makeup application;30;0.0;0;0.0;0.0;0.0;1015;0;0.0;0.2256;133;52
makeup;598;0.003;11;69.625400186;0.098480057;0.002960893;23515;11;69.625400186;0.1787;3347;707
makeover;17;0.0;0;0.0;0.0;0.0;406;0;0.0;0.1504;113;57
make up class;29;0.0;0;0.0;0.0;0.0;361;0;0.0;0.5472;53;22
make up brushes;1;0.0;0;0.0;0.0;0.0;450;0;0.0;0.0208;48;9
make up artist;15;0.015;1;25.145000458;1.323421077;0.059444446;423;1;25.145000458;0.2308;65;19
make up;147;0.001;1;2.546999931;0.00961132;0.000409288;6223;1;2.546999931;0.1577;932;265
make over;9;0.0;0;0.0;0.0;0.0;459;0;0.0;0.0947;95;18
make;17;0.0;0;0.0;0.0;0.0;1316;0;0.0;0.0327;520;410
mak;2;0.0;0;0.0;0.0;0.0;451;0;0.0;0.0097;207;183
mainevent;2;0.0;0;0.0;0.0;0.0;561;0;0.0;0.0123;162;101
maine;36;0.0;0;0.0;0.0;0.0;1031;0;0.0;0.1818;198;99
main event;394;0.001;4;56.525701523;0.03972291;0.00239729;23579;4;56.525701523;0.0929;4241;1423
main even;0;0.0;0;0.0;0.0;0.0;577;0;0.0;0.0;193;172
main eve;3;0.0;0;0.0;0.0;0.0;516;0;0.0;0.0163;184;171
main;7;0.0;0;0.0;0.0;0.0;1904;0;0.0;0.0094;747;653
mail;43;0.016;2;2.994599342;0.032199993;0.004829999;620;2;2.994599342;0.3359;128;93
maid service;64;0.015;3;103.998402596;1.925896344;0.106994241;972;3;103.998402596;0.3282;195;54
maid;269;0.01;6;373.876701355;1.077454471;0.154239563;2424;7;418.872200012;0.4297;626;347
mai kai;0;0.0;0;0.0;0.0;0.0;460;0;0.0;0.0;92;27
mai;11;0.0;0;0.0;0.0;0.0;981;0;0.0;0.031;355;321
magic sleek;120;0.012;2;204.015296936;4.080305939;0.214301782;952;2;204.015296936;0.7101;169;50
magic shows;12;0.0;0;0.0;0.0;0.0;587;0;0.0;0.1429;84;24
magic show;91;0.002;1;19.0;0.153225806;0.006196999;3066;1;19.0;0.1916;475;124
magic mountain;35;0.04;7;54.812900543;0.615875287;0.050472284;1086;7;54.812900543;0.1989;176;89
magic mike;102;0.028;8;189.936800003;1.376353623;0.166173928;1143;7;155.230199814;0.3554;287;138
magic kingdom;32;0.0;0;0.0;0.0;0.0;4495;0;0.0;0.0361;886;316
magic;186;0.012;12;162.388400078;0.31349112;0.032799111;4951;12;162.388400078;0.1822;1021;518
magi;22;0.013;2;5.045599937;0.0371;0.013383554;377;2;5.045599937;0.1477;149;136
magazines;137;0.031;18;50.48669982;0.515170406;0.013062536;3865;15;39.881100178;0.2383;575;98
magazine subscriptions;14;0.01;1;3.718100071;0.247873338;0.0051426;723;0;0.0;0.1359;103;15
magazine subscription;19;0.005;1;2.065599918;0.098361901;0.0019919;1037;0;0.0;0.0974;195;21
magazine;221;0.019;22;73.525900364;0.377055899;0.010220448;7194;19;60.722500086;0.1949;1134;195
mag;2;0.0;0;0.0;0.0;0.0;1014;0;0.0;0.0051;390;354
madsages;21;0.0;0;0.0;0.0;0.0;490;0;0.0;0.2386;88;45
madsage;340;0.01;12;341.937199593;0.508835118;0.062068833;5509;10;315.539598465;0.278;1223;672
mads;22;0.011;2;-0.562799454;-0.003495649;-0.000980487;574;2;-0.562799454;0.1189;185;161
madison;27;0.021;2;104.150903702;1.653188948;0.220192185;473;2;104.150903702;0.2872;94;63
maddage;46;0.014;2;40.518199921;0.445254944;0.054024267;750;1;19.990699768;0.3108;148;91
madame;140;0.018;4;46.548699379;0.272214616;0.06501215;716;4;46.548699379;0.6452;217;171
madam;149;0.035;7;73.614799976;0.402266667;0.11307957;651;6;60.551599979;0.745;200;183
mada;86;0.007;1;4.798799992;0.035546667;0.012562304;382;2;30.925199986;0.589;146;135
mad;106;0.009;7;148.813399315;0.210783852;0.062317169;2388;11;237.566400051;0.134;791;706
macys;105;0.0;0;0.0;0.0;0.0;1074;0;0.0;0.3684;285;144
mackinaw island;9;0.0;0;0.0;0.0;0.0;511;0;0.0;0.12;75;6
macbook pro;73;0.009;2;52.838798523;0.695247349;0.036116745;1463;2;52.838798523;0.3349;218;76
macbook air;21;0.0;0;0.0;0.0;0.0;721;0;0.0;0.1736;121;38
macbook;239;0.003;2;47.180000305;0.166126762;0.010475133;4504;1;30.420000076;0.3141;761;284
mac mini;6;0.0;0;0.0;0.0;0.0;918;0;0.0;0.0361;166;22
mac book;47;0.008;1;15.56000042;0.338260879;0.020286832;767;1;15.56000042;0.3672;128;46
mac;87;0.001;1;10.303199768;0.022644395;0.002754866;3740;1;10.303199768;0.1114;781;455
ma;800;0.003;30;863.168101311;0.095599524;0.032091612;26897;31;898.749603271;0.0778;10277;9029
m;632;0.002;29;793.476407528;0.053864395;0.021208008;37414;27;731.46100378;0.0379;16683;14731
lyp;26;0.009;1;44.96900177;0.66130885;0.106561616;422;1;44.96900177;0.2203;118;68
lyn;166;0.02;7;310.828305244;1.300536842;0.223617486;1390;7;310.828305244;0.4637;358;239
lymphatic message;21;0.0;0;0.0;0.0;0.0;524;0;0.0;0.2727;77;29
lymphatic massages;97;0.01;2;56.749099731;1.134981995;0.037482893;1514;2;56.749099731;0.4755;204;50
lymphatic massage near me;46;0.0;0;0.0;0.0;0.0;2598;0;0.0;0.0826;557;125
lymphatic massage;1435;0.011;44;1856.821286201;1.829380578;0.082058568;22628;30;1378.166784286;0.3683;3896;1015
lymphatic facial;105;0.017;6;185.487796783;2.182209374;0.100047355;1854;6;185.487796783;0.2958;355;85
lymphatic drained massage for face;5;0.0;0;0.0;0.0;0.0;682;0;0.0;0.0781;64;1
lymphatic drainage massage;640;0.01;20;649.5096035;1.273548242;0.059310529;10951;19;638.317503929;0.3194;2004;510
lymphatic drainage facial;66;0.016;3;102.833000183;2.508121956;0.096466229;1066;3;102.833000183;0.3587;184;41
lymphatic drainage compression;31;0.0;0;0.0;0.0;0.0;571;0;0.0;0.3924;79;3
lymphatic drainage;976;0.009;24;822.485904694;1.021721621;0.056923379;14449;20;695.675701141;0.3493;2794;805
lymphatic drain massage;30;0.012;1;41.713798523;1.986371358;0.093738873;445;1;41.713798523;0.3529;85;21
lymphatic drain;71;0.003;1;30.902500153;0.20739933;0.02161014;1430;1;30.902500153;0.2205;322;149
lymphatic dr;14;0.0;0;0.0;0.0;0.0;466;0;0.0;0.1085;129;111
lymphatic;1968;0.012;60;2116.79968667;1.021128648;0.085714273;24696;52;1789.44719243;0.39;5046;2073
lymphati;19;0.0;0;0.0;0.0;0.0;397;0;0.0;0.1159;164;157
lymphat;17;0.0;0;0.0;0.0;0.0;426;0;0.0;0.0944;180;172
lympha;43;0.003;1;24.348199844;0.077542038;0.028083275;867;1;24.348199844;0.125;344;314
lymph massage;26;0.018;2;91.353000641;3.971869593;0.170434703;536;1;51.604499817;0.2301;113;23
lymph;290;0.004;4;135.037099838;0.176981782;0.033954513;3977;4;135.037099838;0.2749;1055;763
lympatic massage;17;0.0;0;0.0;0.0;0.0;420;0;0.0;0.2787;61;17
lympatic drainage massage;24;0.018;1;23.870000839;1.193500042;0.048417852;493;1;23.870000839;0.4211;57;20
lympathic massage;48;0.015;2;83.072999954;2.596031249;0.121274452;685;2;83.072999954;0.3529;136;32
lymp;217;0.007;7;331.809500694;0.403661193;0.103270931;3213;5;293.194499969;0.2166;1002;822
lym;190;0.011;10;350.720996857;0.49677195;0.13684003;2563;9;313.130298615;0.2169;876;706
lyft;21;0.0;0;0.0;0.0;0.0;2889;1;3.674999952;0.0264;795;424
ly;192;0.008;6;402.828296661;0.644525275;0.187449184;2149;6;402.828296661;0.2507;766;625
luxury spa;57;0.011;3;79.328098297;1.166589681;0.05756756;1378;2;60.623298645;0.2167;263;68
luxury hotel;18;0.006;1;86.480003357;2.882666779;0.136619279;633;1;86.480003357;0.1078;167;30
luxury;42;0.003;1;17.124000549;0.107025003;0.014762069;1160;1;17.124000549;0.135;311;160
luxor shows;7;0.0;0;0.0;0.0;0.0;438;0;0.0;0.0574;122;1
luxor;126;0.004;1;3.045000076;0.026250001;0.003659856;832;1;3.045000076;0.5339;236;116
luxe;39;0.024;4;98.567502022;0.872278779;0.162652644;606;5;135.344502449;0.2349;166;113
lux;23;0.003;1;38.111999512;0.140117645;0.037548768;1015;1;38.111999512;0.0701;328;272
lunch box;15;0.011;1;2.210799932;0.122822218;0.003824913;578;1;2.210799932;0.1685;89;18
lunch bag;38;0.0;0;0.0;0.0;0.0;1007;0;0.0;0.3689;103;13
lunch;79;0.003;2;5.72179985;0.020656317;0.001627361;3516;2;5.72179985;0.1295;610;277
luna;29;0.035;4;49.857598782;0.615525911;0.124643997;400;5;32.423398495;0.2566;113;81
lump;151;0.022;5;236.05069828;1.118723689;0.255189944;925;5;236.05069828;0.6681;226;211
luminosa;11;0.0;0;0.0;0.0;0.0;620;0;0.0;0.088;125;46
luggages;9;0.0;0;0.0;0.0;0.0;687;0;0.0;0.1286;70;11
luggage tags;3;0.0;0;0.0;0.0;0.0;443;0;0.0;0.0469;64;14
luggage sets;48;0.009;1;3.958800077;0.179945458;0.003472632;1140;1;3.958800077;0.4103;117;22
luggage set;29;0.0;0;0.0;0.0;0.0;1469;0;0.0;0.1429;203;32
luggage;577;0.001;3;20.156399727;0.045092617;0.000926007;21767;3;20.156399727;0.2085;2768;447
lugga;18;0.0;0;0.0;0.0;0.0;543;0;0.0;0.25;72;35
lugg;27;0.007;1;18.717599869;0.246284209;0.034598151;541;1;18.717599869;0.1849;146;76
lucky strike;141;0.028;18;203.490002632;0.581400008;0.066025309;3082;21;251.370002747;0.2227;633;350
lucky snake;65;0.05;7;125.619799614;1.744719439;0.196896238;638;8;135.878699303;0.4676;139;72
lucky;178;0.032;13;204.226498365;0.586857754;0.168921835;1209;15;191.920698285;0.4341;410;348
luck;39;0.011;2;11.583500385;0.069362278;0.026147856;443;2;11.583500385;0.2216;176;167
lube;12;0.042;4;74.051699638;1.255113553;0.190854896;388;4;74.051699638;0.125;96;59
luau;1095;0.006;16;1138.244894028;1.484022026;0.077844679;14622;13;900.221494675;0.3781;2896;767
lua;48;0.0;0;0.0;0.0;0.0;860;1;44.799999237;0.1967;244;190
lu;49;0.001;2;70.590301514;0.059220052;0.020116928;3509;2;94.804000854;0.0352;1392;1192
lpg massage;3;0.0;0;0.0;0.0;0.0;426;0;0.0;0.0612;49;8
lowes;3;0.0;0;0.0;0.0;0.0;1041;0;0.0;0.0146;206;88
lower back massage;2;0.036;1;17.019300461;4.254825115;0.043639232;390;1;17.019300461;0.0714;28;4
loveland;7;0.0;0;0.0;0.0;0.0;389;0;0.0;0.0854;82;39
love25;22;0.006;1;16.137800217;0.278237935;0.013448167;1200;1;16.137800217;0.1209;182;58
love;16;0.0;0;0.0;0.0;0.0;1597;0;0.0;0.0453;353;220
lounge;18;0.0;0;0.0;0.0;0.0;1183;0;0.0;0.0952;189;92
louisville;7;0.0;0;0.0;0.0;0.0;680;0;0.0;0.0574;122;48
lotus;41;0.013;2;60.788600922;0.72367382;0.101823452;597;3;87.60710144;0.2628;156;84
lotion;16;0.0;0;0.0;0.0;0.0;1183;0;0.0;0.0904;177;34
loss weight;15;0.0;0;0.0;0.0;0.0;585;0;0.0;0.1172;128;19
lose weight;59;0.011;2;97.218597412;1.834313159;0.073261942;1327;2;97.218597412;0.3278;180;53
los vegas;35;0.0;0;0.0;0.0;0.0;700;0;0.0;0.4487;78;21
los cabos;41;0.0;0;0.0;0.0;0.0;793;0;0.0;0.3154;130;34
los angeles zoo;21;0.0;0;0.0;0.0;0.0;1402;0;0.0;0.0792;265;81
los angeles hotel;12;0.0;0;0.0;0.0;0.0;462;0;0.0;0.2308;52;7
los angeles;139;0.0;0;0.0;0.0;0.0;6169;0;0.0;0.1519;915;256
los;9;0.014;4;14.610899925;0.061910593;0.016109041;907;4;14.610899925;0.0305;295;236
loon mountain;15;0.0;0;0.0;0.0;0.0;419;0;0.0;0.2459;61;20
longwood gardens;0;0.0;0;0.0;0.0;0.0;398;0;0.0;0.0;72;22
longhorn;9;0.0;0;0.0;0.0;0.0;490;0;0.0;0.0523;172;122
long term parking;13;0.015;1;29.543300629;1.136280793;0.077745528;380;1;29.543300629;0.2;65;26
long stem roses;86;0.042;6;85.795899391;1.479239645;0.126729541;677;4;64.275499344;0.6056;142;58
long island ny;5;0.0;0;0.0;0.0;0.0;416;0;0.0;0.0909;55;6
long island concerts;6;0.0;0;0.0;0.0;0.0;573;0;0.0;0.1277;47;2
long island city;10;0.0;0;0.0;0.0;0.0;403;0;0.0;0.2439;41;6
long island aquarium;7;0.0;0;0.0;0.0;0.0;710;0;0.0;0.0636;110;34
long island;13;0.0;0;0.0;0.0;0.0;1309;0;0.0;0.0599;217;70
long horn;2;0.0;0;0.0;0.0;0.0;376;0;0.0;0.0385;52;30
long beach aquarium;25;0.0;0;0.0;0.0;0.0;1396;0;0.0;0.0988;253;75
long beach;74;0.002;1;3.879199982;0.02409441;0.001318559;2942;1;3.879199982;0.1434;516;161
long;2;0.0;0;0.0;0.0;0.0;882;0;0.0;0.0058;343;307
london uk  hotels;7;0.0;0;0.0;0.0;0.0;586;0;0.0;0.1094;64;1
london;76;0.0;0;0.0;0.0;0.0;2856;0;0.0;0.1413;538;239
lon;3;0.0;0;0.0;0.0;0.0;559;0;0.0;0.0152;198;177
lol;180;0.082;25;234.143603802;1.03146962;0.271628311;862;25;239.043703556;0.5902;305;227
lodging;65;0.0;0;0.0;0.0;0.0;2948;0;0.0;0.1102;590;172
lodge;58;0.004;1;38.641201019;0.420013055;0.038145312;1013;1;38.641201019;0.2578;225;92
locs;112;0.018;4;112.551199913;1.210227956;0.146360468;769;4;112.551199913;0.5045;222;93
locksmith;23;0.0;0;0.0;0.0;0.0;979;0;0.0;0.0987;233;101
lock smith;1;0.0;0;0.0;0.0;0.0;369;0;0.0;0.0263;38;20
local vineyards;2;0.0;0;0.0;0.0;0.0;393;0;0.0;0.0952;21;1
local things to do;15;0.0;0;0.0;0.0;0.0;806;0;0.0;0.1705;88;2
local;36;0.0;0;0.0;0.0;0.0;1887;0;0.0;0.0702;513;300
loc;55;0.0;0;0.0;0.0;0.0;534;0;0.0;0.3642;151;107
lobster;28;0.02;3;6.532999992;0.102078125;0.006776971;964;3;6.532999992;0.1867;150;64
lo;4;0.0;0;0.0;0.0;0.0;3572;0;0.0;0.0032;1253;1129
ll;2;0.0;0;0.0;0.0;0.0;400;0;0.0;0.0135;148;142
living waters;1;0.0;0;0.0;0.0;0.0;382;0;0.0;0.0286;35;3
living room cotton;0;0.0;0;0.0;0.0;0.0;381;0;0.0;0.0;33;1
living proof;26;0.042;3;21.985200405;1.221400023;0.058161906;378;2;15.568400383;0.3611;72;18
living desert;8;0.0;0;0.0;0.0;0.0;1122;0;0.0;0.0394;203;69
live sound equipment;3;0.0;0;0.0;0.0;0.0;406;0;0.0;0.0769;39;1
live shows;14;0.0;0;0.0;0.0;0.0;532;0;0.0;0.1667;84;16
live plants;14;0.0;0;0.0;0.0;0.0;898;0;0.0;0.1505;93;12
live music concerts;14;0.004;1;10.0;0.163934426;0.004578755;2184;1;10.0;0.0588;238;61
live music;33;0.0;0;0.0;0.0;0.0;3090;0;0.0;0.076;434;120
live concerts;13;0.015;2;25.940999985;0.786090909;0.022518229;1152;2;25.940999985;0.0949;137;33
live concert;11;0.0;0;0.0;0.0;0.0;459;0;0.0;0.2075;53;15
live;8;0.0;0;0.0;0.0;0.0;816;0;0.0;0.0313;256;191
liv beautiful;20;0.038;2;340.28830719;15.467650327;0.883865733;385;1;235.159805298;0.3774;53;22
liv;49;0.0;0;0.0;0.0;0.0;528;1;151.971496582;0.3025;162;132
little gym;8;0.0;0;0.0;0.0;0.0;377;0;0.0;0.086;93;33
little greek;34;0.143;12;18.849999905;0.496052629;0.044352941;425;12;18.849999905;0.4048;84;38
little;23;0.004;1;-2.293200016;-0.010471233;-0.003622749;633;2;115.159802914;0.0916;251;219
liquor;16;0.0;0;0.0;0.0;0.0;484;0;0.0;0.1569;102;60
liquivida;255;0.028;15;760.126804352;3.839024264;0.238134964;3192;16;786.722505569;0.4705;542;198
liquidvida;55;0.037;2;40.805301666;1.360176722;0.081447708;501;2;40.805301666;1.0185;54;30
liquid lipo;147;0.006;2;111.492296219;1.252722429;0.061768585;1805;2;111.492296219;0.4362;337;89
liquid iv;47;0.014;2;45.089099884;0.850737734;0.05878631;767;2;45.089099884;0.3197;147;53
liquid face lift;17;0.0;0;0.0;0.0;0.0;371;0;0.0;0.156;109;7
liquid bbl;43;0.0;0;0.0;0.0;0.0;1029;0;0.0;0.2139;201;70
liquid;7;0.0;0;0.0;0.0;0.0;502;0;0.0;0.0417;168;143
liqui;42;0.035;6;192.415898323;1.394318104;0.340559112;565;6;192.415898323;0.2456;171;138
lipstick;22;0.012;1;1.279999971;0.042666666;0.002233857;573;1;1.279999971;0.2651;83;30
lips filler;67;0.0;0;0.0;0.0;0.0;661;0;0.0;0.7283;92;31
lips;400;0.005;6;616.698698044;1.553397224;0.090239786;6834;6;616.698698044;0.3543;1129;397
lipotropic;120;0.016;3;41.627099752;0.457440657;0.042433333;981;2;38.734999657;0.6349;189;91
liposuction;843;0.001;3;953.908714294;1.526253943;0.077333499;12335;3;953.908714294;0.374;2254;625
lipo suction;21;0.0;0;0.0;0.0;0.0;902;0;0.0;0.1858;113;31
lipo shots;106;0.005;1;20.350000381;0.251234573;0.015335343;1327;1;20.350000381;0.4796;221;81
lipo shot;61;0.0;0;0.0;0.0;0.0;839;0;0.0;0.5259;116;50
lipo sculpt;24;0.0;0;0.0;0.0;0.0;411;0;0.0;0.3429;70;15
lipo laser;147;0.011;3;278.390602112;3.395007343;0.169646924;1641;3;278.390602112;0.5194;283;82
lipo injection;31;0.015;1;54.891201019;3.920800073;0.148756642;369;1;54.891201019;0.4493;69;14
lipo c;29;0.01;1;54.967498779;1.717734337;0.132451804;415;1;54.967498779;0.2816;103;32
lipo 360;66;0.0;0;0.0;0.0;0.0;1259;0;0.0;0.3385;195;64
lipo;2292;0.004;21;1371.089091301;0.655709752;0.047615527;28795;24;1455.809291601;0.3959;5790;2091
lipfiller;34;0.0;0;0.0;0.0;0.0;391;0;0.0;0.3542;96;47
lip tint;22;0.01;1;70.379997253;1.636744122;0.119693873;588;1;70.379997253;0.2157;102;43
lip tattoo;103;0.004;1;79.019996643;1.179402935;0.063623186;1242;1;79.019996643;0.4346;237;67
lip tatoo;36;0.0;0;0.0;0.0;0.0;486;0;0.0;0.5625;64;19
lip plumper;22;0.0;0;0.0;0.0;0.0;372;0;0.0;0.3793;58;20
lip plump;16;0.0;0;0.0;0.0;0.0;426;0;0.0;0.2353;68;29
lip neutralization;46;0.0;0;0.0;0.0;0.0;725;0;0.0;0.293;157;28
lip laser;24;0.0;0;0.0;0.0;0.0;537;0;0.0;0.2264;106;34
lip lab;1;0.0;0;0.0;0.0;0.0;572;0;0.0;0.0102;98;41
lip injections;533;0.005;7;1070.795211792;2.450332292;0.120219514;8907;7;1070.795211792;0.3463;1539;437
lip injection;213;0.002;1;168.503997803;1.015084324;0.054923076;3068;1;168.503997803;0.4176;510;166
lip inj;7;0.0;0;0.0;0.0;0.0;409;0;0.0;0.0654;107;70
lip in;28;0.0;0;0.0;0.0;0.0;495;0;0.0;0.2044;137;124
lip gloss;7;0.0;0;0.0;0.0;0.0;412;0;0.0;0.1014;69;14
