query,location_canonical,kind,state,lat,lon,population,confidence
amsterdam,Amsterdam,city,NY,42.93869,-74.18819,18008,0.95
"samana, dominican republic",Republic,city,MO,37.12005,-93.48019,16005,0.95
los angeles activities,Los Angeles,city,CA,34.05223,-118.24368,3820914,0.95
mt. washington,Washington,city,DC,38.89511,-77.03637,689545,0.95
"albany,",Albany,city,GA,31.57851,-84.15574,74843,0.95
aquatica orlando,Orlando,city,FL,28.53834,-81.37924,334854,0.95
manhattan hotel,Manhattan,city,KS,39.18361,-96.57167,56308,0.95
new york,York,city,PA,39.9626,-76.72774,43992,0.95
rome,Rome,city,GA,34.25704,-85.16467,36323,0.95
"valvoline, delmar ny",,,,,,0,0.0
"merida, mexico",Mexico,city,MO,39.16976,-91.88295,11660,0.95
london ontario,Ontario,city,CA,34.06334,-117.65089,171214,0.95
"lebanon, nh",Lebanon,city,MO,37.6806,-92.66379,14688,0.95
orlando,Orlando,city,FL,28.53834,-81.37924,334854,0.95
six flags new york,York,city,PA,39.9626,-76.72774,43992,0.95
londenderry vermont,Vermont,state,VT,,,0,0.93
hotels in orlando florida,Orlando,city,FL,28.53834,-81.37924,334854,0.95
"south burlington, vt",South Burlington,city,VT,44.46699,-73.17096,18791,0.95
malta drive in,,,,,,0,0.0
pauleys island south carolina,South Carolina,state,SC,,,0,0.93
karkhai water park,,,,,,0,0.0
bahamas,,,,,,0,0.0
musical new york,York,city,PA,39.9626,-76.72774,43992,0.95
nyc city pass,Manhattan,city,NY,40.78343,-73.96625,1487536,0.9
equinox  vermont,Vermont,state,VT,,,0,0.93
dominican republic,Republic,city,MO,37.12005,-93.48019,16005,0.95
toronto zoo,,,,,,0,0.0
air bnb florida keys,Florida,state,FL,,,0,0.93
albany ny,Albany,city,GA,31.57851,-84.15574,74843,0.95
new zealand,,,,,,0,0.0
massachusetts,Massachusetts,state,MA,,,0,0.93
hotels myrtle beach,Myrtle Beach,city,SC,33.68906,-78.88669,31035,0.95
belmont stakes,Belmont,city,NC,35.24292,-81.0373,10533,0.95
park n fly albany,Albany,city,GA,31.57851,-84.15574,74843,0.95
new york restaurants,York,city,PA,39.9626,-76.72774,43992,0.95
las vegas link,Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
hotel bronx ny,The Bronx,city,NY,40.84985,-73.86641,1385108,0.9
atlantic city,Atlantic City,city,NJ,39.36415,-74.42306,39260,0.95
lebanon valley,Lebanon,city,MO,37.6806,-92.66379,14688,0.95
albany,Albany,city,GA,31.57851,-84.15574,74843,0.95
"hollywood, beverly hills,",Hollywood,city,FL,26.0112,-80.14949,149728,0.95
tropical beach resort,,,,,,0,0.0
"new york roller coaster, las vegas",York,city,PA,39.9626,-76.72774,43992,0.95
wildlife zoo arizona,Arizona,state,AZ,,,0,0.93
las vegas helicopetr,Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
las vegas escape it,Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
citypass chicago,Chicago,city,IL,41.85003,-87.65005,2664452,0.95
las vegas hotels,Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
fishing california,California,city,MD,38.3004,-76.50745,11857,0.95
puerto peñasco,,,,,,0,0.0
disney world orlando,Orlando,city,FL,28.53834,-81.37924,334854,0.95
las vegas nevada,Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
amc dallas,Dallas,city,GA,33.92371,-84.84077,12870,0.95
bogo las vegas,Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
keratase,,,,,,0,0.0
lagoon park utah,Utah,state,UT,,,0,0.93
great wolf lodge colorado springs,Colorado Springs,city,CO,38.83388,-104.82136,456568,0.95
las vegas leuxor,Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
"kanab, utah",Utah,state,UT,,,0,0.93
la beauty nailblounge,,,,,,0,0.0
fiesta texas,Texas,state,TX,,,0,0.93
dallas,Dallas,city,GA,33.92371,-84.84077,12870,0.95
"santa barbara, ca",Santa Barbara,city,CA,34.42083,-119.69819,91842,0.95
big bus tour las vegas,Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
italy,,,,,,0,0.0
party boat miami,Miami,city,FL,25.77427,-80.19366,487014,0.95
hawaii,Hawaii,state,HI,,,0,0.93
ocean city maryland,Ocean City,city,NJ,39.27762,-74.5746,11355,0.95
sight seeing new york,York,city,PA,39.9626,-76.72774,43992,0.95
wildflowers new york bistro,York,city,PA,39.9626,-76.72774,43992,0.95
harrisburg,Harrisburg,city,NC,35.32395,-80.65784,14539,0.95
"hotels in north myrtle beach,sc",Myrtle Beach,city,SC,33.68906,-78.88669,31035,0.95
kalaharia,,,,,,0,0.0
maryland aquarium,Maryland,state,MD,,,0,0.93
washington dc,District of Columbia,region,DC,,,0,0.93
iphone11 case,,,,,,0,0.0
grenada all inclusive,Grenada,city,MS,33.769,-89.80842,12900,0.95
"washington, dc",District of Columbia,region,DC,,,0,0.93
stroudsburg pa,,,,,,0,0.0
colorado springs,Colorado Springs,city,CO,38.83388,-104.82136,456568,0.95
ocean city hotels,Ocean City,city,NJ,39.27762,-74.5746,11355,0.95
stockholm nj,,,,,,0,0.0
all inclusive mexico,Mexico,city,MO,39.16976,-91.88295,11660,0.95
houston to atv,Houston,city,TX,29.76328,-95.36327,2314157,0.95
mexico,Mexico,city,MO,39.16976,-91.88295,11660,0.95
kalahari resort,,,,,,0,0.0
atlantic city casino,Atlantic City,city,NJ,39.36415,-74.42306,39260,0.95
"provo, utah",Provo,city,UT,40.23384,-111.65853,115162,0.95
washington grill,Washington,city,DC,38.89511,-77.03637,689545,0.95
kala,,,,,,0,0.0
boston,Boston,city,MA,42.35843,-71.05977,653833,0.95
hotel in philadelphia,Philadelphia,city,PA,39.95238,-75.16362,1573916,0.95
pittsburgh pirates,Pittsburgh,city,PA,40.44062,-79.99589,304391,0.95
camel beach,,,,,,0,0.0
new york rai,York,city,PA,39.9626,-76.72774,43992,0.95
big kahuna,,,,,,0,0.0
flights to disney land in florida,Florida,state,FL,,,0,0.93
newark parking,Newark,city,DE,39.68372,-75.74966,33817,0.95
"ocean city, md",Ocean City,city,NJ,39.27762,-74.5746,11355,0.95
hotels in maine,Maine,state,ME,,,0,0.93
ocean city md,Ocean City,city,NJ,39.27762,-74.5746,11355,0.95
south carolina,South Carolina,state,SC,,,0,0.93
prudential center boston,Boston,city,MA,42.35843,-71.05977,653833,0.95
new jersey,New Jersey,state,NJ,,,0,0.93
toronto hotel,,,,,,0,0.0
maryland,Maryland,state,MD,,,0,0.93
parking at philadelphia airport,Philadelphia,city,PA,39.95238,-75.16362,1573916,0.95
pennsylvania medical marijuana,Pennsylvania,state,PA,,,0,0.93
miami,Miami,city,FL,25.77427,-80.19366,487014,0.95
real estate course pennsylvania,Pennsylvania,state,PA,,,0,0.93
new york city bus tours,New York City,city,NY,40.71427,-74.00597,8804190,0.95
turkey hill experience,New Providence,city,NJ,40.69843,-74.40154,12469,0.9
u.s virgin islands,,,,,,0,0.0
nova,,,,,,0,0.0
houston zoo,Houston,city,TX,29.76328,-95.36327,2314157,0.95
flight to atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
spa atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
"key west, florida",Key West,city,FL,24.55524,-81.78163,25755,0.95
kaliheria,,,,,,0,0.0
coney island beach,Coney Island,city,NY,40.57788,-73.99403,60000,0.95
orlando sea world tickits,Orlando,city,FL,28.53834,-81.37924,334854,0.95
miami boat tour,Miami,city,FL,25.77427,-80.19366,487014,0.95
real estate course florida,Florida,state,FL,,,0,0.93
bronx zoo,The Bronx,city,NY,40.84985,-73.86641,1385108,0.9
coghavrn poconos in pennsylvania,Pennsylvania,state,PA,,,0,0.93
atlantic city boardwalk,Atlantic City,city,NJ,39.36415,-74.42306,39260,0.95
kalahari resort waterpark,,,,,,0,0.0
airport parking philadelphia,Philadelphia,city,PA,39.95238,-75.16362,1573916,0.95
la quinta amarillo texas,Amarillo,city,TX,35.222,-101.8313,198645,0.95
buns over texas,Texas,state,TX,,,0,0.93
discovery center of idaho,Idaho,state,ID,,,0,0.93
alaska fishing,Alaska,state,AK,,,0,0.93
dubai,,,,,,0,0.0
medical marijuana for united states,,,,,,0,0.0
denton nc,Denton,city,TX,33.21484,-97.13307,131044,0.95
train alaska,Alaska,state,AK,,,0,0.93
alaska,Alaska,state,AK,,,0,0.93
washington dc bus tour,District of Columbia,region,DC,,,0,0.93
waukesha,Waukesha,city,WI,43.01168,-88.23148,71970,0.95
indigo spa canton,Canton,city,GA,34.23676,-84.49076,25469,0.95
chicago,Chicago,city,IL,41.85003,-87.65005,2664452,0.95
milwaukee museum,Milwaukee,city,WI,43.0389,-87.90647,563531,0.95
restaurants in westland michigan,Westland,city,MI,42.3242,-83.40021,82000,0.95
farmington hills,Farmington Hills,city,MI,42.48531,-83.37716,81330,0.95
altitude trempoline park philadelphia,Philadelphia,city,PA,39.95238,-75.16362,1573916,0.95
nba jersey,,,,,,0,0.0
detroit princess,Detroit,city,MI,42.33143,-83.04575,645705,0.95
las vegas golf,Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
toledo zoo,Toledo,city,OH,41.66394,-83.55521,265638,0.95
hansard hills golf,,,,,,0,0.0
detroit tigers tickets,Detroit,city,MI,42.33143,-83.04575,645705,0.95
detroit zoo,Detroit,city,MI,42.33143,-83.04575,645705,0.95
kalahari ohio,Ohio,state,OH,,,0,0.93
las angeles california,California,city,MD,38.3004,-76.50745,11857,0.95
maid service,,,,,,0,0.0
chicago river cruise,Chicago,city,IL,41.85003,-87.65005,2664452,0.95
michigan adventure,Michigan,state,MI,,,0,0.93
la quinta,La Quinta,city,CA,33.66336,-116.31001,40476,0.95
"hotels in jackson, mi",Jackson,city,MO,37.38227,-89.66621,14869,0.95
last minute deals to europe,,,,,,0,0.0
omaha steaks,Omaha,city,NE,41.25626,-95.94043,486051,0.95
detroit tigers,Detroit,city,MI,42.33143,-83.04575,645705,0.95
canterbury,,,,,,0,0.0
chicago tilt,Chicago,city,IL,41.85003,-87.65005,2664452,0.95
"traverse city, michigan vineyards",Traverse City,city,MI,44.76306,-85.62063,15218,0.95
hotels grass lake michigan,Michigan,state,MI,,,0,0.93
florida beach hotel,Florida,state,FL,,,0,0.93
universal orlando,Orlando,city,FL,28.53834,-81.37924,334854,0.95
thunder over michigan,Michigan,state,MI,,,0,0.93
"new york, ny",York,city,PA,39.9626,-76.72774,43992,0.95
mrytle beach,,,,,,0,0.0
ireland,West Springfield,city,MA,42.10704,-72.62037,27912,0.9
dallas texas,Dallas,city,GA,33.92371,-84.84077,12870,0.95
new orleans,New Orleans,city,LA,29.95465,-90.07507,362701,0.95
tampa bay,Tampa,city,FL,27.94752,-82.45843,414547,0.95
betty brinn's childrens museum milwaukee,Milwaukee,city,WI,43.0389,-87.90647,563531,0.95
"louisville, ky",Louisville,city,KY,38.25424,-85.75941,624444,0.95
florida,Florida,state,FL,,,0,0.93
atlanta aquarium,Atlanta,city,GA,33.749,-84.38798,510823,0.95
panama city beach,Panama City Beach,city,FL,30.17659,-85.80549,12624,0.95
colin,,,,,,0,0.0
central america all inclusive adults only,Central,city,LA,30.55435,-91.03677,28295,0.95
kentucky down under adventure zoo,Kentucky,state,KY,,,0,0.93
"carolina beach, nc",,,,,,0,0.0
charlotte,Charlotte,city,NC,35.22709,-80.84313,911311,0.95
atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
biltmore north carolina,North Carolina,state,NC,,,0,0.93
mikes pizza hendersonville nc,Hendersonville,city,NC,35.31873,-82.46095,13814,0.95
"san diego, ca",San Diego,city,CA,32.71571,-117.16472,1404452,0.95
"sun city, az",Sun City,city,AZ,33.59754,-112.27182,37499,0.95
massage and facial geneva switzerland,Geneva,city,IL,41.88753,-88.30535,21806,0.95
hai,,,,,,0,0.0
atlanta awuarium,Atlanta,city,GA,33.749,-84.38798,510823,0.95
"orlando, fl",Orlando,city,FL,28.53834,-81.37924,334854,0.95
atlanta safari park,Atlanta,city,GA,33.749,-84.38798,510823,0.95
atlanta ga,Atlanta,city,GA,33.749,-84.38798,510823,0.95
charleston,Charleston,city,IL,39.49615,-88.17615,21196,0.95
botanical garden atlanta ticket,Atlanta,city,GA,33.749,-84.38798,510823,0.95
charleston aquarium,Charleston,city,IL,39.49615,-88.17615,21196,0.95
spa in atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
best hotels for singles in las vegas,Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
"phoenix, az",Phoenix,city,AZ,33.44838,-112.07404,1650070,0.95
helens georgia,Georgia,state,GA,,,0,0.93
sabana beach georgia,Georgia,state,GA,,,0,0.93
"legoland, california one day pass",California,city,MD,38.3004,-76.50745,11857,0.95
six flags over georgia,Georgia,state,GA,,,0,0.93
seaworld orlando,Orlando,city,FL,28.53834,-81.37924,334854,0.95
miami sunset,Miami,city,FL,25.77427,-80.19366,487014,0.95
real-estate georgia,Georgia,state,GA,,,0,0.93
hartsfield  jackson airport parking,Jackson,city,MO,37.38227,-89.66621,14869,0.95
jacksonville fl,Jacksonville,city,AL,33.81382,-85.7613,12222,0.95
calgary airport hotel,,,,,,0,0.0
south carolina aquarium,South Carolina,state,SC,,,0,0.93
clear kayak,,,,,,0,0.0
things to do in atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
miami hotels,Miami,city,FL,25.77427,-80.19366,487014,0.95
sky view atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
dermatology specialist of atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
jewel dunn's jamaica,Jamaica,city,NY,40.69149,-73.80569,216866,0.95
omaha zoo,Omaha,city,NE,41.25626,-95.94043,486051,0.95
ultherapy atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
great wolf atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
zoo in atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
las vegas pass,Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
travel from atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
ferris wheel atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
freeport florida,Freeport,city,TX,28.95414,-95.35966,12154,0.95
salsa,,,,,,0,0.0
hotel in la,,,,,,0,0.0
france tour,,,,,,0,0.0
"cooper city, florida",Cooper City,city,FL,26.05731,-80.27172,35364,0.95
zoo tickets atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
atlanta united,Atlanta,city,GA,33.749,-84.38798,510823,0.95
groupon breakfast atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
things to do in georgia,Georgia,state,GA,,,0,0.93
atlanta city psas,Atlanta,city,GA,33.749,-84.38798,510823,0.95
atlantic station bowlero,,,,,,0,0.0
beach front hotel in sunny isle florida,Florida,state,FL,,,0,0.93
georgia fair,Georgia,state,GA,,,0,0.93
macon georgia,Macon,city,GA,32.84069,-83.6324,91351,0.95
orlando fl,Orlando,city,FL,28.53834,-81.37924,334854,0.95
la grange,La Grange,city,IL,41.80503,-87.86923,15723,0.95
massage body and feet atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
san juan,San Juan,city,TX,26.18924,-98.15529,36556,0.95
georgia renaissance festival,Georgia,state,GA,,,0,0.93
rock city garden,,,,,,0,0.0
"charlotte, nc",Charlotte,city,NC,35.22709,-80.84313,911311,0.95
karate atlanta alpharetta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
movies atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
flight to vegas from atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
atlanta trolley,Atlanta,city,GA,33.749,-84.38798,510823,0.95
cairo,,,,,,0,0.0
hcg weight loss atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
airport parking atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
florida wild safari,Florida,state,FL,,,0,0.93
caribbean trip,,,,,,0,0.0
kids  atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
sedona,Sedona,city,AZ,34.86974,-111.76099,10388,0.95
bowling in kennesaw ga,Kennesaw,city,GA,34.02343,-84.61549,33584,0.95
atlanta dream,Atlanta,city,GA,33.749,-84.38798,510823,0.95
chicago illinois,Chicago,city,IL,41.85003,-87.65005,2664452,0.95
full body massage atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
panama city beach jet ski rental 15405,Panama City Beach,city,FL,30.17659,-85.80549,12624,0.95
florida oceanfront,Florida,state,FL,,,0,0.93
georgia aquaruym,Georgia,state,GA,,,0,0.93
chicago hotel,Chicago,city,IL,41.85003,-87.65005,2664452,0.95
wag atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
atlanta passbook,Atlanta,city,GA,33.749,-84.38798,510823,0.95
atlanta safari park commerce ga,Atlanta,city,GA,33.749,-84.38798,510823,0.95
zoo atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
bowling in cobb county,,,,,,0,0.0
city sightseeing new york city,New York City,city,NY,40.71427,-74.00597,8804190,0.95
fun atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
copa america,,,,,,0,0.0
jamaica,Jamaica,city,NY,40.69149,-73.80569,216866,0.95
new york city pass,New York City,city,NY,40.71427,-74.00597,8804190,0.95
city pass atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
mountasia,,,,,,0,0.0
atlanta hotel,Atlanta,city,GA,33.749,-84.38798,510823,0.95
moxi laser treatment,,,,,,0,0.0
new york passes,York,city,PA,39.9626,-76.72774,43992,0.95
panama city condo for rent,Panama City,city,FL,30.15946,-85.65983,38286,0.95
denver,Denver,city,CO,39.73915,-104.9847,729019,0.95
georgia atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
atlanta xoo,Atlanta,city,GA,33.749,-84.38798,510823,0.95
hollywood studios,Hollywood,city,FL,26.0112,-80.14949,149728,0.95
spas in buckhead georgia,Georgia,state,GA,,,0,0.93
miami yacht,Miami,city,FL,25.77427,-80.19366,487014,0.95
cheap things to do in atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
south of france vacation,,,,,,0,0.0
things to do in atlanta next,Atlanta,city,GA,33.749,-84.38798,510823,0.95
concert atlanta ga,Atlanta,city,GA,33.749,-84.38798,510823,0.95
park 'nfly plus atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
license course georgia,Georgia,state,GA,,,0,0.93
karate atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
atlanta centerfor puppetry arts,Atlanta,city,GA,33.749,-84.38798,510823,0.95
skywheel atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
los angeles,Los Angeles,city,CA,34.05223,-118.24368,3820914,0.95
miami bayside,Miami,city,FL,25.77427,-80.19366,487014,0.95
restaly ne,,,,,,0,0.0
skyview atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
florida resorts,Florida,state,FL,,,0,0.93
dinner shows. orlando fl,Orlando,city,FL,28.53834,-81.37924,334854,0.95
massage in newnan,Newnan,city,GA,33.38067,-84.79966,37291,0.95
new orleans la,New Orleans,city,LA,29.95465,-90.07507,362701,0.95
gealorgia aquarium,,,,,,0,0.0
real estate course georgia,Georgia,state,GA,,,0,0.93
grenada,Grenada,city,MS,33.769,-89.80842,12900,0.95
massage miami,Miami,city,FL,25.77427,-80.19366,487014,0.95
south shores bay lagoin,Bay Village,city,OH,41.48477,-81.92208,15402,0.9
wild safari find mountain georgia,Georgia,state,GA,,,0,0.93
flights to denver,Denver,city,CO,39.73915,-104.9847,729019,0.95
brookhaven georgia skin pen,Brookhaven,city,GA,33.85844,-84.3402,51910,0.95
panama city beach helicopter,Panama City Beach,city,FL,30.17659,-85.80549,12624,0.95
bj orlando,Orlando,city,FL,28.53834,-81.37924,334854,0.95
florida kid resorts,Florida,state,FL,,,0,0.93
thrill,,,,,,0,0.0
thailand,,,,,,0,0.0
amc canton,Canton,city,GA,34.23676,-84.49076,25469,0.95
bed and breakfast atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
texas,Texas,state,TX,,,0,0.93
"hotels near amelia island, fl",,,,,,0,0.0
storage near alpharetta,Alpharetta,city,GA,34.07538,-84.29409,63693,0.95
botanical garden atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
atlanta hotels,Atlanta,city,GA,33.749,-84.38798,510823,0.95
atlanta parking,Atlanta,city,GA,33.749,-84.38798,510823,0.95
georgia aquarium,Georgia,state,GA,,,0,0.93
brow ombre,,,,,,0,0.0
georgia zoo,Georgia,state,GA,,,0,0.93
big kahuna water park destin,Destin,city,FL,30.39353,-86.49578,13523,0.95
atlanta botanical garden,Atlanta,city,GA,33.749,-84.38798,510823,0.95
hotels chicago,Chicago,city,IL,41.85003,-87.65005,2664452,0.95
hotel indigo colombia georgia,Georgia,state,GA,,,0,0.93
davis california,Davis,city,CA,38.54491,-121.74052,67666,0.95
atlanta tour,Atlanta,city,GA,33.749,-84.38798,510823,0.95
milia removal,,,,,,0,0.0
atlanta motorsports,Atlanta,city,GA,33.749,-84.38798,510823,0.95
miami city tour,Miami,city,FL,25.77427,-80.19366,487014,0.95
georgia real estate pre-licensing 75 hour course,Georgia,state,GA,,,0,0.93
bdsm,,,,,,0,0.0
wax atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
atlanta safari,Atlanta,city,GA,33.749,-84.38798,510823,0.95
universal studio orlando,Orlando,city,FL,28.53834,-81.37924,334854,0.95
atlanta garden,Atlanta,city,GA,33.749,-84.38798,510823,0.95
miami seqarium and lion county safari,Miami,city,FL,25.77427,-80.19366,487014,0.95
midtown atlanta georgia,Atlanta,city,GA,33.749,-84.38798,510823,0.95
zoe of atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
hotels atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
orlando aquraium,Orlando,city,FL,28.53834,-81.37924,334854,0.95
atlanta spring wine festival,Atlanta,city,GA,33.749,-84.38798,510823,0.95
go cart racing florida,Florida,state,FL,,,0,0.93
macon ga,Macon,city,GA,32.84069,-83.6324,91351,0.95
legoland atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
home2suites atlanta ga,Atlanta,city,GA,33.749,-84.38798,510823,0.95
meal voucher georgia aquarium,Georgia,state,GA,,,0,0.93
atlanta puppetry,Atlanta,city,GA,33.749,-84.38798,510823,0.95
trampoline park atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
parking atlanta downtown,Atlanta,city,GA,33.749,-84.38798,510823,0.95
eclipso atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
six flags atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
san diego zoo,San Diego,city,CA,32.71571,-117.16472,1404452,0.95
activate atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
universal studios florida,Florida,state,FL,,,0,0.93
hotels charlotte train station north carolina,Charlotte,city,NC,35.22709,-80.84313,911311,0.95
atlanta citypass,Atlanta,city,GA,33.749,-84.38798,510823,0.95
escape atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
atlanta botanical gardens,Atlanta,city,GA,33.749,-84.38798,510823,0.95
la fitness gym,,,,,,0,0.0
atlanta city pass,Atlanta,city,GA,33.749,-84.38798,510823,0.95
breakfast in gwinnett,,,,,,0,0.0
uptown comedy atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
clean atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
jiffy airport parking atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
body scan,,,,,,0,0.0
atlanta wine tour,Atlanta,city,GA,33.749,-84.38798,510823,0.95
hotels with hottub in atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
atlanta zoo,Atlanta,city,GA,33.749,-84.38798,510823,0.95
atlantic station,,,,,,0,0.0
fractional carbon laser resurfacin in atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
atlanta symphony mayn11,Atlanta,city,GA,33.749,-84.38798,510823,0.95
helicopter ride atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
panama city florida,Panama City,city,FL,30.15946,-85.65983,38286,0.95
4ever young atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
las vegas hotel,Las Vegas,city,NM,35.59393,-105.2239,13386,0.95
wine testing in atlanta,Atlanta,city,GA,33.749,-84.38798,510823,0.95
lil asthetics,,,,,,0,0.0
