name,kind,state,lat,lon,population,variants
Dothan,city,AL,31.22323,-85.39049,68567,Cawthons Cowpen|DHN|Dotan|Dothen|Poplar Head|dosan|doseon|dothana|dothyana|duo sen|dwthan|dwthn  alabama|Дотан|دوثان|دوثن، آلاباما|دۆتەن، ئەلاباما|ڈوتھن، الاباما|डोथान|डोथ्यान|ドーサン|多森|도선
East Florence,city,AL,34.80953,-87.64947,35733,Sweetwater
Enterprise,city,AL,31.31517,-85.85522,27978,Drake Eye|ETS|Ehnterprajz|Enterprajs|Enterprajz|antrbrayz|antrprayz  alabama|en te pu lai si|intarapra'ija|Ентерпрайс|Ентерпрајз|Энтерпрайз|إنتربرايز|ئینتەر پرایز، ئەلاباما|انترپرایز، آلاباما|इन्टरप्राइज|恩特普赖斯
Eufaula,city,AL,31.89127,-85.14549,12596,EUF|Eufala|Irwinton|Jufola|you fu la|yufora|yuphaula|yupolla|ywfla  alabama|ywfwla|Јуфола|Юфола|אופאולה|يوفولا|یوفلا، آلاباما|یووفۆلا، ئەلاباما|युफौला|ユーフォーラ|尤福拉|유폴라
Fairfield,city,AL,33.48594,-86.91194,10907,Corey|Feerfild|Ferfild|Feurfild|fei er fei er de|fyrfyld|fyrfyld  alabama|peeopildeu|pheyaraphilda|Ферфилд|Феърфилд|Феєрфілд|فيرفيلد|فیئرفیلڈ، الاباما|فیرفیلد، آلاباما|فێرفیلد، ئەلاباما|फेयरफिल्ड|费尔菲尔德|페어필드
Fairhope,city,AL,30.52297,-87.90333,18730,Alabama City|Feehrgoup|Feergoup|Ferkhoup|feahopu|fei er huo pu|fyrhwb|fyrhwp  alabama|pheyarahopa|Ферхоуп|Феэргоуп|Феєргоуп|فيرهوب|فیئرہوپ، الاباما|فیرهوپ، آلاباما|فێرھۆپ، ئەلاباما|फेयरहोप|フェアホープ|费尔霍普
Florence,city,AL,34.79981,-87.67725,40026,Florencija|Florens|flarns  alabama|flwrns|flwrns  alabama|fu luo lun si|furorensu|peullolenseu|phlorensa|Флоренс|Флоренция|فلارنس، آلاباما|فلورنس|فلورنس، الاباما|فلۆرەنس، ئەلاباما|फ्लोरेन्स|フローレンス|弗洛伦斯|플로렌스
Foley,city,AL,30.40659,-87.6836,17218,Foli|NHX|fori|fu li|fwly|fwly  alabama|pholi|polli|pwlyy|Фоли|Фолі|פוליי|فولى|فولي|فولی، آلاباما|فۆلی، ئەلاباما|फोली|フォーリー|弗利|폴리
Forestdale,city,AL,33.57011,-86.89638,10162,Forestdejl|Foristdejl|fu li si te dai er|fwrystdyl|fwrztdyyl  alabama|pharestadela|Форестдейл|Фористдејл|فارست‌دیل، آلاباما|فورزتدئیل، آلاباما|فوريستديل|फरेस्टडेल|福里斯特戴爾
Fort Payne,city,AL,34.44425,-85.71969,14150,Fort Pejn|Fort-Pejn|fwrt bayn|fwrt pyn  alabama|pei en bao|pharta peyana|Форт Пејн|Форт-Пейн|فورت باين|فورت پین، آلاباما|فۆرت پەین، ئەلاباما|फर्ट पेयन|佩恩堡
Gadsden,city,AL,34.01434,-86.00639,36084,Double Springs|GAD|Queen City of the Coosa|gaejeudeon|gazuden|gdsdn  alabama|ghadsdn|gyadsdena|jia ci deng|Гадсден|Ґадсден|غادسدن|گدسدن، آلاباما|گەدسدن، ئەلاباما|ग्याड्स्डेन|ガズデン|加兹登|개즈던
Gardendale,city,AL,33.6601,-86.81277,13711,Gardendejl|gardenadela|gardndyl  alabama|ghardndyl|jardndyl|jia deng|qardndyl  alabama|Гардендейл|Гардендејл|Ґардендейл|جاردنديل|غاردنديل|قاردندیل، آلاباما|گاردندیل، آلاباما|گاردندەیل، ئەلاباما|गार्डेनडेल|加登
Gulf Shores,city,AL,30.24604,-87.70082,11131,GUF|Galf Shors|Galf-Shors|galf shwrz  alabama|galpha sorsa|ge er fu hai an|ghlf shwrz|Галф Шорс|Ґалф-Шорс|غلف شورز|گالف شورز، آلاباما|گەلف شۆرز، ئەلاباما|गल्फ शोर्स|格尔夫海岸
Hartselle,city,AL,34.44343,-86.93528,14493,Gartsell|Hartsel|Hartsell|Hartsell's Station|Hartsells|Kharcele|Khartsel|ha te sai er|hartasela|hartsl  alabama|hartsyl|hrtsl|Гартселл|Хартсел|Харцеле|הרטסל|هارتسل، آلاباما|هارتسيل|ھارتسێل، ئەلاباما|हार्टसेल|哈特塞尔
Helena,city,AL,33.29622,-86.8436,18264,Cove|Gelena|Hillsboro|Hillsborough|Khelena|Khelina|Lees Cove|hai lun na|hlna  alabama|hylyna|Гелена|Хелена|Хелина|هلنا، آلاباما|هيلينا|ھێلێنا، ئەلاباما|हेलेना|海伦娜
Homewood,city,AL,33.47177,-86.80082,25708,Goumvud|Khomvud|homavuda|homuuddo|huo mu wu de|hwmwwd|hwmwwd  alabama|Гоумвуд|Хомвуд|هوموود|هوموود، آلاباما|ھۆموود، ئەلاباما|होमवूड|ホームウッド|霍姆伍德
Hoover,city,AL,33.40539,-86.81138,84848,Guver|Khuver|fuba|hu fu|hubhara|hwfr|hwwr  alabama|Гувер|Хувер|هوفر|هوور، آلاباما|ھووڤەر، ئەلاباما|ہوور، الاباما|हूभर|フーバー|胡佛
Hueytown,city,AL,33.45122,-86.99666,15710,Earnest|G'juitaun|Huey|Khjuitaun|hu ai zhen|hwytawn|hyuyata'una|hywyytawn  alabama|Гьюітаун|Хјуитаун|هويتاون|هیوئیتاون، آلاباما|ھیویتاون، ئەلاباما|ह्युयटाउन|胡艾镇
Huntsville,city,AL,34.7304,-86.58594,215006,Gantsvill|HSV|Hantsvila|Hantsvilis|Hantsvill|Hunts Spring|Khantsvil|Khantsvill|Khuntsvil|Twickenham|hantsabhila|hantsubiru|hantswyl  alabama|heng ci wei er|heoncheubil|hntsfyl|Гантсвілл|Хантсвил|Хантсвилл|Хънтсвил|האנטסוויל|هانتسویل، آلاباما|هنتسفيل|ھەنتسڤیل، ئەلاباما|ہنٹسویل، الاباما|हन्त्सभिल|ハンツビル|亨茨维尔|헌츠빌
Irondale,city,AL,33.53816,-86.70721,12423,Ajrondejl|a'iranadela|ai ang dai er|ayrndyl  alabama|ayrwndyl|Айрондейл|Ајрондејл|آيرونديل|آیرندیل، آلاباما|ئایرۆندەیل، ئەلاباما|आइरनडेल|艾昂戴尔
Jacksonville,city,AL,33.81382,-85.7613,12222,Drayton|Dzeksonvil|Dzheksonvill|Greens Trading Post|Jackson|Jackson Ville|Jacksoonville|Jaksonville|Madison|jakswnfyl|jakusonbiru|jie ke xun wei er|jkkswnwyl  alabama|jksnwyl  alabama|jyakasanabhila|Џексонвил|Джексонвилл|Джексонвілл|جاكسونفيل|جکسنویل، آلاباما|جککسونویل، الاباما|جەکسنڤیل، ئەلاباما|ज्याकसनभिल|ジャクソンビル|傑克遜維爾|杰克逊维尔
Jasper,city,AL,33.83122,-87.27751,14071,Dzasper|Dzhasper|bi yu|gspr|jaeseupeo|jasbr|jaspr  alabama|jspr  albama|jyaspara|Џаспер|Джаспер|גספר|جاسبر|جاسپر، آلاباما|جاسپەر، ئەلاباما|جسپر، الباما|ज्यास्पर|碧玉|재스퍼
Leeds,city,AL,33.54816,-86.54443,11936,Cedar Grove|Lids|Oak Ridge|li ci|lidsa|lydz|lydz  alabama|Лидс|Лідс|ليدز|لیدز، آلاباما|لیدز، ئەلاباما|لیڈز، الاباما|लीड्स|利兹
Madison,city,AL,34.69926,-86.74833,46962,Medison|Mehdison|madysn|mai di xun|mdyswn  alabama|myadisana|Мадисон|Медисон|Медісон|Мэдисон|ماديسن|مدیسون، آلاباما|میڈیسون، الاباما|مەدیسن، ئەلاباما|म्याडिसन|マディソン|麦迪逊
Millbrook,city,AL,32.47986,-86.36192,15314,Milbruk|Millbruk|mi er bu lu ke|milabruka|milbeulug|mylbrwk|mylbrwk  alabama|Милбрук|Міллбрук|ميلبروك|میلبروک، آلاباما|میلبروک، ئەلاباما|मिलब्रूक|米尔布鲁克|밀브룩
Mobile,city,AL,30.69436,-88.04305,183289,La Mobila|La Mobile|MOB|Mo-il-la|Mobajl|Mobil|Mobila|Mobilas|Mobille|Moville|mo bi er|moba'ila|mobil|mobila|mobili|mobiru|mwbayl  alabama|mwbyl|mwbyl  alabama|Мобајл|Мобил|Мобіл|מוביל|موبائل، الاباما|موبيل|موبیل، آلاباما|मोबाइल|मोबिल|მობილი|ម៉ូបាល|モービル|莫比尔|모빌
Montgomery,city,AL,32.36681,-86.29997,195287,MGM|Mantgomery|Mons Gomerici|Montgomeri|Montgomeris|Montgomuri|Montnkomeri|mamtagomeri|mantagomeri|mantgameri|mantkamari|meng ge ma li|mong-gomeli|mongomeri|montagomari|mwntghwmry|mwntgmry|mwntgwmry|mxn t kx me xri|Μοντγκόμερι|Мантгомеры|Монтгомери|Монтгомері|Монтгомъри|Մոնտգոմերի|מאנטגאמערי|מונטגומרי|مونتغومري|مونتگمری|مونٹگمری|مونٹگمری، الاباما|माँटगोमेरी|मान्टगोमेरी|मोन्टगोमरी|मोन्तगोमरी|மான்ட்கமரி|ಮಾಂಟ್ಗಾಮೆರಿ|มอนต์กอเมอรี|მონტგომერი|モンゴメリー|蒙哥馬利|蒙哥马利|몽고메리
Moody,city,AL,33.59094,-86.49082,12593,Moodys|Moodys Crossroads|Mudi|mu di|mudi|mwdy|mwdy  alabama|Муди|Муді|مودى|مودي|مودی، آلاباما|موودی، ئەلاباما|मूडी|ムーディー|穆迪|무디
Mountain Brook,city,AL,33.50094,-86.75221,20691,
Muscle Shoals,city,AL,34.74481,-87.66753,13706,Chustanaluyi|Dagunahi|MSL|Maskl Shols|Masl Shouls|Masl-Shols|Quad Cities|The Shoals|Tri-Cities|ma si er xiao er si|masala solsa|masl shaywlz  alabama|msl shwls|Маскл Шолс|Масл Шоулс|Масл-Шолс|ماسل شائولز، آلاباما|مسل شولس|مەسل شۆلس، ئەلاباما|मशल शोल्स|马斯尔肖尔斯
Northport,city,AL,33.22901,-87.57723,24772,Canetuck|Kentuck|North Port|North Tuskaloosa|Nortport|narthaporta|noseupoteu|nosupoto|nuo si bo te|nwrth bwrt|nwrthpwrt  alabama|Нортпорт|نورتپۆرت، ئەلاباما|نورث بورت|نورثپورت، آلاباما|नर्थपोर्ट|ノースポート|诺斯波特|노스포트
Opelika,city,AL,32.64541,-85.37828,29527,Big Swamp|Opelajka|Opelikan|Opillaka|Owls Roost|awbylyka|awplyka  alabama|opela'ika|ou pei lai ka|Опелайка|Опелајка|Опеліка|أوبيليكا|ئۆپێلیکا، ئەلاباما|اوپلیکا، آلاباما|ओपेलाइका|ओपेलिका|欧佩莱卡
Oxford,city,AL,33.61427,-85.83496,21249,Lick Skillet|Lickskillet|Oksford|Snow Creek|Snows Creek|aksapharda|aksfwrd  alabama|awksfwrd|niu jin|ogseupeodeu|Оксфорд|آکسفرڈ، الاباما|آکسفورد، آلاباما|أوكسفورد|ئۆکسفۆرد، ئەلاباما|अक्सफर्ड|牛津|옥스퍼드
Ozark,city,AL,31.45906,-85.64049,14719,Bullards|Merrick|Merricks|OZR|Woodshop|ao suo ka|awzark|awzark  alabama|ojarka|Озарк|أوزارك|ئۆزارک، ئەلاباما|اوزارک، آلاباما|ओजार्क|奥索卡
Pelham,city,AL,33.28567,-86.80999,22885,Pelam|Shelby Courthouse|Shelbyville|blham|pei lei mu|pelahyama|plham  alabama|Пелам|بلهام|پلهام، آلاباما|پێلھەم، ئەلاباما|पेलह्याम|佩勒姆
Pell City,city,AL,33.58621,-86.28609,13646,PLR|Pel Siti|Pell-Siti|byl syty|pei er cheng|pella siti|pl syty  alabama|Пел Сити|Пелл-Сити|Пелл-Сіті|بيل سيتي|پل سیتی، آلاباما|پێل سیتی، ئەلاباما|पेल्ल सिटी|佩尔城
Phenix City,city,AL,32.47098,-85.00077,37570,Browneville|Brownville|Feniks-Siti|Finiks Siti|Finiks-Siti|Knights Station|Lively|Phoenix|feng huang cheng|fnyks syty  alabama|fynyks syty|phiniksa siti|Фенікс-Сіті|Финикс Сити|Финикс-Сити|فنیکس سیتی، آلاباما|فينيكس سيتي|فینیکس سیتی، ئەلاباما|फिनिक्स सिटी|凤凰城|鳳凰城
Pleasant Grove,city,AL,33.49094,-86.97027,10260,Earle|Frog Pond|Plezant Grouv|Plezent-Grov|blyznt ghrwf|plijenta grobha|plyznt grww  alabama|pu lai sen te ge luo fu|Плезант Гроув|Плезент-Ґров|بليزنت غروف|پلیزنت گروو، آلاباما|پلێزنت گرۆڤ، ئەلاباما|प्लिजेन्ट ग्रोभ|普莱森特格罗夫
Prattville,city,AL,32.46402,-86.4597,35420,Prattvill|Pratvil|Pratvill|bratfyl|prtwyl  alabama|pryatabhila|pu la te wei er|Пратвил|Пратвилл|Праттвілл|براتفيل|پرتویل، آلاباما|پرەتڤیل، ئەلاباما|प्र्याटभिल|普拉特维尔
Prichard,city,AL,30.7388,-88.07889,22351,Prichard Station|brytshard|pricarda|prychard  alabama|pu li cha de|Причард|Прічард|بريتشارد|پریچارد، آلاباما|پریچارد، ئەلاباما|प्रिचार्ड|普里查德
Saks,city,AL,33.69871,-85.83969,10744,
Saraland,city,AL,30.82074,-88.07056,13906,Alvarez Station|Cleveland|Cleveland Station|Saralend|sa la lan|saralyanda|Сараланд|Сараленд|سارالاند|साराल्यान्ड|萨拉兰
Scottsboro,city,AL,34.67231,-86.03415,14722,Sage Town|Scotts Mill|Scottsborough|Scottsville|Skotsboro|Skottsboro|askatsbra  alabama|si ke ci bo luo|skatasbaro|skwtsbwrw|Скотсборо|Скоттсборо|اسکاتسبرا، آلاباما|سكوتسبورو|سکۆتسبۆرۆ، ئەلاباما|स्कटस्बरो|斯科茨博罗
Selma,city,AL,32.40736,-87.0211,19519,Ecor de Bienville|High Soapstone Bluff|Moores Bluff|Piachee|Piachi|SEM|SES|Sel'ma|sai er ma|seruma|slma|slma  alabama|Селма|Сельма|سلما|سلما، آلاباما|سێلما، ئەلاباما|सेल्मा|セルマ|塞尔玛|셀마
Sylacauga,city,AL,33.17317,-86.25164,12657,Chalakagay|Clevelands Store|Cuillicoga|Cyllacogga|Marble City|Scille Coggy|Silakauga|Silakoga|Sillacogga|Suellocauga|Suillacouge|Suyllecogga|Sylacogga|Syllacauga|Syllacogy|shirakoga|silakauga|silleokoga|sylakawgha|sylakawja|sylakwga  alabama|sylakwqa  alabama|xi la ke jia|Силакауґа|Силакога|סילאסוגה|سيلاكاوجا|سيلاكاوغا|سیلاکوقا، آلاباما|سیلاکوگا، آلاباما|سیلاکۆگا، ئەلاباما|सीलाकौगा|シラコーガ|锡拉科加|실러코가
Talladega,city,AL,33.43594,-86.1058,15709,ASN|Bride of the Mountain|Highland City|Taladega|Taladiga|Talatekah|Talladegee|Talladiga|Talladigger|Teledega|Telladega|Tulladega|ta la di jia|taelleodiga|taladega|taladiga|taladygha|Таладига|Талладига|Талладіґа|تالاديغا|टालाडेगा|ടാലദീഗ|塔拉迪加|탤러디가
Tillmans Corner,city,AL,30.59019,-88.17084,17398,Three Notches
Troy,city,AL,31.80877,-85.96995,18853,Centreville|Deer Stand Hill|TOI|Troj|Zebulon|te luo yi|teuloi|tro'i|trwy|trwy  alabama|Трой|Трој|تروي|تروی، آلاباما|ٹرائے، الاباما|ट्रोइ|特洛伊|트로이
Trussville,city,AL,33.61983,-86.60888,21023,Trassvill|Trasvil|Truss|te lu si wei er|trasabhila|traswyl  alabama|trwsfyl|Трасвил|Трассвілл|تراسویل، آلاباما|تروسفيل|ट्रसभिल|特鲁斯维尔
Tuscaloosa,city,AL,33.20984,-87.56917,111338,Black Warrior Town|Druid City|Louiseville|Matildaville|Shelbyville|Shelleyville|Shelltown|Shellytown|TCL|Taskalusa|Tuskalloosa|Tuskaloosa|ta si ka lu sa|taskalusa|taskalwsa  alabama|tasukarusa|teoseukeollusa|tsqlwsh|twskalwsa|Таскалуса|טסקלוסה|تاسکالوسا، آلاباما|توسكالوسا|टस्कालूसा|ടസ്കലൂസ|タスカルーサ|塔斯卡卢萨|터스컬루사
Vestavia Hills,city,AL,33.44872,-86.78777,34174,Vestavia
Arkadelphia,city,AR,34.12093,-93.05378,10745,Arcadelphia|Archadelphia|Arkadelfija|a ka de er fei ya|arkadelphiya|arkadlpya|arkdlfya|Аркаделфија|آرکادلپیا|أركدلفيا|आर्कादेल्फिया|阿卡德尔菲亚
Batesville,city,AR,35.7698,-91.64097,10668,BVX|Batsvil'|Bejtsvil|Bejtsvill|Big Bottom|Greenbriar|Napoleon|Oil Trough Bottom|Poke Bayou|betsabhila|btswyl|bytsfyl|Батсвіль|Бейтсвилл|Бејтсвил|بتسویل|بيتسفيل|बेट्सभिल
Bella Vista,city,AR,36.4807,-94.27134,27999,Bela Vista|Bella Vista Village|Bella-Vista|bella bhista|bellabiseuta|blawysta|byla fysta|Бела Виста|Белла-Виста|Белла-Віста|بلاویستا|بيلا فيستا|بیلا وسٹا، آرکنساس|बेल्ला भिस्ता|벨라비스타
Benton,city,AR,34.56454,-92.58683,34177,benatana|benteon|bntwn|Бентон|بنتون|بینٹن، آرکنساس|बेनटन|벤턴
Bentonville,city,AR,36.37285,-94.20882,44499,Bentonvil|Bentonvil'|Bentonvill|Osage|ben dun wei|benatanabhila|bentanavhila|benteonbil|bentonbiru|bntwn wyl|bntwnfyl|Бентонвил|Бентонвилл|Бентонвилле|Бентонвіль|بنتون ویل|بنتونفيل|بینٹنویل، آرکنساس|बेनटनभिल|बेन्टनव्हिल|ベントンビル|本頓維|벤턴빌
Blytheville,city,AR,35.9273,-89.91898,14694,BYH|Blajtvil|Blajtvil'|Blajtvill|Blaytvill|Bljtkhevile|blayt wyl|blayt wyly|bleithabhila|blythfyl|bu lai xi wei er|buraisuvuiru|Блайтвилл|Блайтвиль|Блайтвіль|Блајтвил|Блйтхевиле|بلایت ویل|بلایت ویلی|بليثفيل|ब्लेीथभिल|ブライスヴィル|布萊西維爾
Bryant,city,AR,34.59593,-92.48905,19986,
Cabot,city,AR,34.97453,-92.01653,25587,Kabot|ka bo te|kabotto|kabwt|kaebeos|kyabota|Кабот|كابوت|کابوت|کابوٹ، آرکنساس|क्याबोत|カボット|卡博特|캐벗
Camden,city,AR,33.58456,-92.83433,11347,CDH|Choteau de Fabri|Corea Fabre|Ecor a Fabri|Ecore Fabre|Ecore a Fabre|Fabres Bluff|Fabres Landing|Fabris Bluff|Fabrys Bluff|Kamden|L'Ecore a Fabri|LaCore Fabre|kaemdeon|kamdn|kyamdena|Камден|كامدن|کامدن|کیمڈن، آرکنساس|क्याम्डेन|캠던
Centerton,city,AR,36.3598,-94.28521,12023,Centerpoint|Senterton|sen te dun|sentaratana|sntrtwn|Сентертон|سنترتون|सेन्टरटन|森特頓
Conway,city,AR,35.0887,-92.4421,64980,Conway Station|Konuehj|Konvej|kanve|kanwy|kon-wei|kwnwy|Конвей|Конвеј|Конуэй|كونوي|کانوی|کونوے، آرکنساس|कन्वे|콘웨이
El Dorado,city,AR,33.20763,-92.66627,18386,ELD|Ehl'-Dorado|El Dorejdo|El'-Dorado|Eldorado|al dwradw|aldwradw|el doryado|Ел Дорејдо|Ель-Дорадо|Эль-Дорадо|إل دورادو|الدورادو|एल् डोर्याडो
Fayetteville,city,AR,36.06258,-94.15743,82830,FYV|Faetvil'|Fejetvil|Fejetvilis|Fejetvill|Washington Courthouse|faytfyl|fayt‌wyl|fei ye te wei er|feiettobiru|peiesbil|phayetabhila|phetavhila|Фаєтвіль|Фейетвилл|Фејетвил|פאייטוויל|فائیٹویل، آرکنساس|فايتفيل|فایت‌ویل|फायेटभिल|फेटव्हिल|フェイエットビル|费耶特维尔|페이엣빌
Forrest City,city,AR,35.00815,-90.78983,14672,FCY|Forest City|Forist Siti|Forrest|Forrest-Siti|farst syty|fwrst syty|pharesta siti|Форист Сити|Форрест-Сити|Форрест-Сіті|فارست سیتی|فورست سيتي|फरेस्ट सिटी
Fort Smith,city,AR,35.38592,-94.39855,88194,Belle Point|FSM|Fort Smit|Fort-Smit|fotosumisu|fwrt asmyt|fwrt smyth|pharta smitha|pwrt smyt|shi mi si bao|Форт Смит|Форт-Смит|פורט סמית|فورت اسمیت|فورت سميث|فورٹ سمتھ، آرکنساس|फर्ट स्मिथ|フォートスミス|史密斯堡
Harrison,city,AR,36.22979,-93.10768,13138,Crooked Creek|Garrison|HRO|Kharison|Kharrison|haryswn|hryswn|hyarisana|Гаррисон|Гаррісон|Харисон|Харрисон|هاريسون|هریسون|ह्यारिसन
Hot Springs,city,AR,34.5037,-93.05518,35635,HOT|Hot Springs National Park|Khot-Springs|Man-a-tak-a|Valley of Vapors|Warm Springs|Хот-Спрингс
Hot Springs Village,city,AR,34.67204,-92.99879,12807,Got-Springs-Villedzh|Khot Spring Vilidz|Khot-Springs-Vilidzh|hata springas bhileja|hwt sbrynghz|hwt sbrynjz|wen quan cun|Гот-Спрингс-Вилледж|Гот-Спрінгс-Вілледж|Хот Спринг Вилиџ|Хот-Спрингс-Вилидж|هات‌اسپرینقز ویلج، آرکانزاس|هات‌اسپرینگز ویلج|هوت سبرينجز|هوت سبرينغز|हट स्प्रिङ्गस् भिलेज|溫泉村
Jacksonville,city,AR,34.8662,-92.11015,28643,Dzeksonvil|Dzhehksonvill|Dzheksonvil'|Dzheksonvill|LRF|g'qswnwyl|jaegseunbil|jakswnfyl|jakusonbiru|jie ke xun wei er|jkkswnwyl  arknsas|jksnwyl|jyakasanabhila|Џексонвил|Джексонвилл|Джексонвиль|Джексонвіль|Джэксонвилл|Ջեքսոնվիլ|ג'קסונויל|جاكسونفيل|جکسنویل|جککسونویل، ارکنساس|ज्याकसनभिल|ジャクソンビル|傑克遜維爾|杰克逊维尔|잭슨빌
Jonesboro,city,AR,35.8423,-90.70428,73907,Dzhonsboro|Dzhounsburou|Dzounsboro|JBR|Jonesborough|jonasbro|jonjeubeoleo|jonzuboro|jwnsbwrw  arknsas|jwnzbrw|jwnzbwrw|qiong si bo lei|Џоунсборо|Джонсборо|Джоунсбъроу|جونزبرو|جونزبورو|جونسبورو، آرکنساس|जोनस्ब्रो|ジョーンズボロ|琼斯伯勒|존즈버러
Little Rock,city,AR,34.74648,-92.28959,202591,Acropolis|Anilco|Arkopolis|LIT|La Petit Roche|Litl Rok|Litl Rokas|Litl Roks|Litl-Rok|Litlroka|Littlerock|Litul Rok|Old Channel|Old Channel Little River|Petit Roche|Petit Rochelle|Petit Rocher|lie du luo bu|litala raka|litala roka|liteullog|litil rak|litila raka|littil rak|lytl rak  arkanzas|lytl rwk|lytl rwq|ritorurokku|xiao shi cheng|xiao yan cheng|Λιτλ Ροκ|Литл Рок|Литл-Рок|Литъл Рок|Літл-Рок|Լիթլ Ռոք|ליטל ראק|ליטל רוק|ليتل روك|لٹل راک|لٹل راک، آرکنساس|لیتل راک، آرکانزاس|लिटल रॉक|लिटिल रक|लिटिल् राक्|लितल रक|லிட்டில் ராக்|ලිට්ල් රොක්|ლიტლ-როკი|リトルロック|列度洛埠|小岩城|小石城|리틀록
Magnolia,city,AR,33.26707,-93.23933,11669,AGO|Frog Level|Magnolija|maghnwlya|mgnwlya|myagnoliya|mygnwlya  arknsas|Магнолија|ماغنوليا|مگنولیا|میگنولیا، آرکنساس|म्याग्नोलिया
Malvern,city,AR,34.36231,-92.81295,10928,Malvern Junction|malfyrn|malwrn|myalbharna|Малверн|مالفيرن|مالورن|म्याल्भर्न
Marion,city,AR,35.21453,-90.19648,12292,Marion City|Mehrion|marywn|marywn  arknsas|meriyana|Марион|Маріон|Мэрион|ماريون|ماریون|ماریون، آرکنساس|मेरियन
Maumelle,city,AR,34.86676,-92.40432,17931,maumela|mawmwly|mawmyl|ماومولی|ماوميل|मौमेल
Mountain Home,city,AR,36.33534,-92.38516,12330,Rapps Barren|Rapps Barrens|WMH
